ArtistId,ArtistName,TotalTrack
197,Aisha Duo,4
200,The Posies,4
245,Michael Tilson Thomas & San Francisco Symphony,4
208,English Concert & Trevor Pinnock,4
198,Habib Koit� and Bamada,4
207,"Richard Marlow & The Choir of Trinity College, Cambridge",2
228,Leonard Bernstein & New York Philharmonic,2
203,Nicolaus Esterhazy Sinfonia,2
242,Edo de Waart & San Francisco Symphony,2
196,Cake,2
275,Philip Glass Ensemble,2
202,Aaron Goldberg,2
261,"Roger Norrington, London Classical Players",2
250,Christopher O'Riley,2
244,Choir Of Westminster Abbey & Simon Preston,2
232,Sergei Prokofiev & Yuri Temirkanov,2
270,Gerald Moore,2
253,Calexico,2
274,Nash Ensemble,2
222,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2
213,Scholars Baroque Ensemble,2
243,Antal Dor�ti & London Symphony Orchestra,2
241,"Felix Schmidt, London Symphony Orchestra & Rafael Fr�hbeck de Burgos",2
256,Philharmonia Orchestra & Sir Neville Marriner,2
262,Charles Dutoit & L'Orchestre Symphonique de Montr�al,2
269,Michele Campanella,2
210,"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",2
223,London Symphony Orchestra & Sir Charles Mackerras,2
231,Ton Koopman,2
273,"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",2
257,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2
271,"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",2
265,Julian Bream,2
238,Maurizio Pollini,2
246,"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",2
201,Luciana Souza/Romero Lubambo,2
215,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,2
235,"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",2
209,"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",2
255,Yehudi Menuhin,2
218,Orchestre R�volutionnaire et Romantique & John Eliot Gardiner,2
254,Otto Klemperer & Philharmonia Orchestra,2
211,Wilhelm Kempff,2
220,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",2
230,Aaron Copland & London Symphony Orchestra,2
267,G�teborgs Symfoniker & Neeme J�rvi,2
221,Sir Georg Solti & Wiener Philharmoniker,2
260,Adrian Leaper & Doreen de Feis,2
216,"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",2
240,Gustav Mahler,2
234,Orchestra of The Age of Enlightenment,2
219,"Britten Sinfonia, Ivor Bolton & Lesley Garrett",2
249,"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",2
268,Itzhak Perlman,2
217,Royal Philharmonic Orchestra & Sir Thomas Beecham,2
225,"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",2
272,Emerson String Quartet,2
263,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",2
157,Dread Zeppelin,2
229,Boston Symphony Orchestra & Seiji Ozawa,2
206,Alberto Turco & Nova Schola Gregoriana,2
264,Kent Nagano and Orchestre de l'Op�ra de Lyon,2
233,Chicago Symphony Orchestra & Fritz Reiner,2
266,Martin Roscoe,2
212,Yo-Yo Ma,2
159,Aquaman,2
251,Fretwork,2
237,Berliner Philharmoniker & Hans Rosbaud,2
259,The 12 Cellists of The Berlin Philharmonic,2
236,James Levine,2
258,Les Arts Florissants & William Christie,2
227,Luciano Pavarotti,2
224,Barry Wordsworth & BBC Concert Orchestra,2
